Дата запуска ПЛАН;Дата запуска ФАКТ;Заказчик/Сортамент;Изделие;№ заказа;Партия;Остаточная потребность;Обеспеченность;Проблема;Дата закрытия дефицита;Примечание МТО;Примечание ПО
2020-03-13;;ГАЗПРОМНЕФТЬ-ЗАПОЛЯРЬЕ ООО;"Анкерно-угловая опора 1У110-1+5 Проект: 3.407.2-170 без тросостойки; Фундамент   Фундамент Ф";922050.0;1.0;;0.42068095361046565;;;;
;;Лист 16 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;1133.484;;;;;
;;Лист 20 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;4010.66;;;;;
;;Лист 10 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;920.362;;;;;
;;Лист 12 ГОСТ 19903-2015 09Г2С-12 ГОСТ 19281-2014;;;;4692.728;;;;;
;;Уголок 40х40х4 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;523.181;;;;;
;;Уголок 140х140х9 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;1738.4520000000002;;;;;
;;Уголок 63х63х5 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;2457.292;;;;;
;;Уголок 80х80х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;840.9969999999997;;;;;
;;Швеллер 30 У ГОСТ 8240-89 09Г2С-12 ГОСТ 19281-2014;;;;1515.092;;;;;
;;Уголок 90х90х7 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;2361.076;;;;;
2020-03-08;;ГПН-РАЗВИТИЕ ООО;Лестница ЛГВ 45-24.9с Проект: 1.450.3-7.94;922062.0;1.0;;0.4207888205460235;;;;
;;Швеллер 16 У ГОСТ 8240-89 09Г2С-12 ГОСТ 19821-2014;;;;536.755;;;;;
2020-03-08;;ГПН-РАЗВИТИЕ ООО;Стремянка   СГ-28с Проект: 1.450.3-7.94;922066.0;1.0;;0.01901351251569061;;;;
;;Круг 18 ГОСТ 2590-2006 09Г2С-12 ГОСТ 19281-2014;;;;17.84;;;;;
;;Уголок 75х75х6 ГОСТ 8509-86 09Г2С-12 ГОСТ 19281-2014;;;;88.444;;;;;
2020-03-08;;ГПН-РАЗВИТИЕ ООО;Лестница ЛГВ 45-30.9 Проект: 1.450.3-7.94;922067.0;1.0;;0.42038496886852283;;;;
;;Швеллер 16 У ГОСТ 8240-89 09Г2С-12 ГОСТ 19821-2014;;;;134.33100000000002;;;;;
2020-03-07;;РН-УВАТНЕФТЕГАЗ ООО;Промежуточная опора Пс10-1 Проект: 25.0074 без траверс Опросный лист: 1746_ОЛ84693;922074.0;1.0;;0.00207594430470337;;;;
;;Лист 5 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;2.542;;;;;
;;Круг 18 ГОСТ 2590-2006 09Г2С-12 ГОСТ 19281-2014;;;;33.454;;;;;
;;Труба 168х8 ГОСТ 10704-91 09Г2С-12 ГОСТ 19821-2014;;;;722.5219999999999;;;;;
;;Табличка 63х80 12Х18Н10Т;;;;0.04;;;;;
2020-03-07;;РН-УВАТНЕФТЕГАЗ ООО;Анкерная ответвительная опора АОс10-1 Проект: 25.0074 без траверс Опросный лист: 1746_ОЛ8471;922075.0;1.0;;0.0011569428375793889;;;;
;;Лист 8 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;7.002000000000001;;;;;
;;Лист 5 ГОСТ 19903-74 09Г2С-12 ГОСТ 19281-2014;;;;1.271;;;;;
;;Круг 18 ГОСТ 2590-2006 09Г2С-12 ГОСТ 19281-2014;;;;14.797;;;;;
;;Труба 168х8 ГОСТ 10704-91 09Г2С-12 ГОСТ 19821-2014;;;;653.774;;;;;
;;Табличка 63х80 12Х18Н10Т;;;;0.02;;;;;
